VIN (1-10),County,City,State,ZIP Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location
5YJ3E1EB2K,King,KIRKLAND,WA,98033,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,48,478724459,POINT (-122.188994 47.678406)
5YJSA1E43L,King,SEATTLE,WA,98102,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,337,0,43,112305420,POINT (-122.321673 47.634289)
JTDKARFP4J,King,BELLEVUE,WA,98004,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,27300,41,209061975,POINT (-122.20316899999999 47.619011)
JN1AZ0CP1B,King,SEATTLE,WA,98118,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,32780,37,180648065,POINT (-122.275593 47.54055)
1N4AZ0CP8F,King,REDMOND,WA,98052,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,45,325675787,POINT (-122.122018 47.678465)
5YJXCAE2XL,King,SAMMAMISH,WA,98075,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,41,124540307,POINT (-122.028168 47.586173)
1G1FX6S04H,King,KENT,WA,98030,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,47,175642190,POINT (-122.19538100000001 47.369696)
1N4AZ0CP9D,King,SEATTLE,WA,98103,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,43,226673961,POINT (-122.343577 47.672491)
WBY8P6C58K,Snohomish,BOTHELL,WA,98021,2019,BMW,I3S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,44450,1,332188048,POINT (-122.21210499999998 47.792368)
KNDJX3AE8H,King,SEATTLE,WA,98118,2017,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,37,139436888,POINT (-122.275593 47.54055)
1N4AZ0CPXD,King,SEATTLE,WA,98178,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,37,191419308,POINT (-122.249664 47.49744200000001)
1N4AZ0CPXE,Snohomish,EDMONDS,WA,98026,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,28980,32,246184466,POINT (-122.33304600000001 47.829439)
