,test_id,actual,transducer
0,1.0,5,0.2834
1,1.0,10,0.3655
2,1.0,15,0.4469
3,1.0,35,0.7752
4,1.0,55,1.1028
5,1.0,75,1.432
6,1.0,95,1.762
7,1.0,105,1.9244
8,1.0,125,2.2511
9,1.0,145,2.5814
10,1.0,165,2.9052
11,1.0,175,3.0743
12,2.0,5,0.283
13,2.0,10,0.36602
14,2.0,15,0.4473
15,2.0,35,0.77531
16,2.0,55,1.1041
17,2.0,75,1.4334
18,2.0,95,1.7592
19,2.0,105,1.9227
20,2.0,125,2.2556
21,2.0,145,2.5833
22,2.0,165,2.9073
23,2.0,175,3.0715
24,3.0,5,0.292
25,3.0,10,0.366
26,3.0,15,0.4581
27,3.0,35,0.7868
28,3.0,55,1.1039
29,3.0,75,1.433
30,3.0,95,1.756
31,3.0,105,1.924
32,3.0,125,2.2535
33,3.0,145,2.5821
34,3.0,165,2.9109
35,3.0,175,3.0429
36,4.0,5,0.28413
37,4.0,10,0.37831
38,4.0,15,0.44861
39,4.0,35,0.77509
40,4.0,55,1.042
41,4.0,75,1.4328
42,4.0,95,1.7609
43,4.0,105,1.9241
44,4.0,125,2.2537
45,4.0,145,2.5822
46,4.0,165,2.9106
47,4.0,175,3.0647
48,5.0,5,0.2839
49,5.0,10,0.3656
50,5.0,15,0.4474
51,5.0,35,0.7756
52,5.0,55,1.1034
53,5.0,75,1.4324
54,5.0,95,1.7609
55,5.0,105,1.9252
56,5.0,125,2.2533
57,5.0,145,2.581
58,5.0,165,2.9105
59,5.0,175,3.0683
60,,5,0.28394
61,7.0,10,0.36603
62,6.0,15,0.44777
63,6.0,35,0.7765
64,6.0,55,1.1034
65,6.0,75,1.4333
66,6.0,95,1.7623
67,6.0,105,1.9258
68,6.0,125,2.2538
69,6.0,145,2.5823
70,6.0,165,2.9118
71,6.0,175,3.0747
72,6.0,5,0.2847
73,7.0,10,0.3664
74,7.0,15,0.4487
75,7.0,35,0.7762
76,7.0,55,1.1052
77,7.0,75,1.4338
78,7.0,95,1.7607
79,7.0,105,1.9264
80,7.0,125,2.2543
81,7.0,145,2.5822
82,7.0,165,2.9108
83,7.0,175,3.0742
84,8.0,5,0.2849
85,8.0,10,0.3664
86,8.0,15,0.4484
87,8.0,35,0.7768
88,8.0,55,1.1051
89,8.0,75,1.4337
90,8.0,95,1.7563
91,8.0,105,1.9264
92,8.0,125,2.2506
93,8.0,145,2.5819
94,8.0,165,2.903
95,8.0,175,3.071
96,9.0,5,0.2862
97,9.0,10,0.3683
98,9.0,15,0.4479
99,9.0,35,0.7783
100,9.0,55,1.1063
101,9.0,75,1.4346
102,9.0,95,1.7632
103,9.0,105,1.9267
104,9.0,125,2.2536
105,9.0,145,2.582
106,9.0,165,2.91
107,9.0,175,3.069
