Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Luxembourg,33183.28887,34090.33822,35852.69386,37471.3923,38264.9051,39699.51228,42445.9714,44217.94756,49744.96918,55039.68215,56091.22818,58513.3936,60115.00662,64634.07135,68707.78171,78818.98902,84994.14541,90863.78408,86804.64935,90256.29524,94278.92285,96535.74583,100561.3664,104917.9457,107898.3042,112955.4702,114862.5288,116334.7247,119252.8129,119871.4294,131277.9487
Ireland,14433.41427,15131.43421,15822.62281,17033.48225,18985.14495,20546.01127,22697.69291,25083.64041,27041.4282,30217.08759,32593.05288,35222.81925,36280.27241,38761.41151,40465.31651,44264.97102,46765.45015,44105.36448,41438.74436,43213.49148,45100.56693,46409.67231,47882.0677,51195.98095,69165.90065,71633.12881,78051.65425,84824.33554,89846.27221,94028.90116,106852.1222
Switzerland,28458.91304,28830.70869,29283.89659,30082.42422,30587.03911,31243.30301,32441.52317,33544.39512,34401.80917,36349.73425,37513.4577,38410.60409,38448.43424,39884.88344,41244.64377,45959.33641,50583.78385,53498.0131,52735.01748,54351.18993,57493.56602,59440.93409,61656.49098,63417.04308,65265.05083,67350.73519,68193.50296,70688.84449,72668.38444,70804.01401,75950.57042
Norway,19580.40057,20626.30135,21585.07014,23027.01709,24363.23552,26828.34997,28610.2428,28190.628,30554.45254,36941.27576,37768.16964,37981.68638,38594.14893,42549.33552,47800.54063,54148.84732,55938.55589,61719.34366,55364.05695,57921.8025,62077.8458,65349.21616,66956.28596,65895.66761,60352.71691,58923.24014,64050.36669,69807.22554,69264.45399,64166.76577,80495.60652
United States,24289.54759,25378.62464,26350.49293,27660.26836,28657.51272,29932.15777,31424.43893,32817.982,34479.79436,36299.66218,37100.28574,37954.22201,39419.90737,41659.66269,44052.383,46234.10571,47976.20121,48498.44521,47122.98854,48570.28973,49951.90765,51644.99166,53116.52197,54914.36823,56520.60923,57592.69152,59589.23392,62449.61283,64690.2724,63480.86122,70181.12175
Iceland,22400.32148,21874.97968,22455.40938,23566.08427,23962.17447,24777.76395,26896.22935,28748.33466,29576.84157,29783.70203,31866.28337,32598.37602,32725.63502,35552.36198,37427.93497,39626.98036,41490.12904,43456.21676,41774.49712,39779.85396,40938.66455,42006.54335,44404.73159,45995.00169,49203.29499,53486.61577,55638.49198,57208.31151,59994.24691,54649.87216,58297.11441
Netherlands,20152.01712,20805.4996,21414.18208,22385.86653,23447.5133,24516.86566,26016.97997,27710.59373,29268.68549,31874.20797,33185.76674,34447.05337,34151.73595,35809.48481,37625.25244,41008.0753,43943.22042,46419.04259,44560.37855,45044.32212,46599.22766,47271.96823,49242.78671,49233.23035,50288.35282,52289.40429,55089.58143,57825.39971,60207.71305,59815.50154,63418.7472
Austria,20618.03694,21293.74118,21733.35372,22643.34432,23698.62927,24561.1605,25427.22674,26676.2465,27606.48424,29380.03111,29707.46226,31178.05144,32158.22591,33784.43265,35024.55748,37659.84067,39436.42013,41316.02264,40929.33675,42020.55064,44469.20964,46477.65508,47936.67796,48813.53441,49942.05629,52665.08746,54188.36067,56956.11056,59719.33165,57253.30056,59976.26467
Denmark,19076.11451,19827.27247,20228.99902,21691.64751,22712.29888,23746.74623,24928.85643,25821.16869,26657.82737,28670.72822,29451.74236,30639.95369,30825.00165,32948.15276,34152.88166,37330.82551,39020.79979,41282.99547,40334.27111,43007.73155,44407.94207,44808.54921,46742.93966,47905.47708,49058.14234,51967.02044,55356.49009,57479.35022,59883.83628,60840.94016,64897.76911
Australia,18177.56368,19157.69096,20184.94601,21432.77545,22442.31684,23289.40183,24477.4138,25708.26383,27139.2482,28312.86654,29546.38199,30807.51408,32391.46999,34000.18232,35659.12549,37938.79208,39687.44861,40130.34169,41672.93617,42816.44175,44440.57948,43884.6356,47763.2159,47606.75493,47226.75975,50136.79838,50690.61954,52991.2149,52732.06568,55690.9186,61977.19618
