Name,Age,Team,Salary
James Harden,25,HOU,23500000
Chris Paul,29,LAC,23410988
Stephen Curry,26,GSW,23180790
Anthony Davis,21,NOP,22458401
DeAndre Jordan,26,LAC,21436271
Jimmy Butler,25,CHI,20644400
Damian Lillard,24,POR,20644400
Russell Westbrook,26,OKC,20068563
Pau Gasol,34,CHI,19754465
Kyrie Irving,22,CLE,19317326
LeBron James,30,CLE,18995624
Tyson Chandler,32,DAL,18862876
Marc Gasol,30,MEM,17674613
Tim Duncan,38,SAS,16500000
Rudy Gobert,22,UTA,16256000
Blake Griffin,25,LAC,15925680
Klay Thompson,24,GSW,15829688
Gordon Hayward,24,UTA,15719063
Al Horford,28,ATL,15719063
Kevin Love,26,CLE,15719062
LaMarcus Aldridge,29,POR,15012000
Marcin Gortat,30,WAS,15000000
Kawhi Leonard,23,SAS,14898938
Draymond Green,24,GSW,14898938
Derrick Favors,23,UTA,14898938
Paul Millsap,29,ATL,14898938
Jonas Valanciunas,22,TOR,14846887
Danny Green,27,SAS,14746000
John Wall,24,WAS,14746000
Andre Drummond,21,DET,14746000
Jeff Teague,26,ATL,14728844
Kyle Korver,33,ATL,14700000
Dirk Nowitzki,36,DAL,14000000
Zach Randolph,33,MEM,13666667
Kyle Lowry,28,TOR,13550000
Eric Bledsoe,25,PHO,13000000
DeMarre Carroll,28,ATL,13000000
Ty Lawson,27,DEN,12972973
Brook Lopez,26,BRK,12950000
Nikola Vucevic,24,ORL,12909091
Mike Conley,27,MEM,12700000
Goran Dragic,28,TOT,12500000
Greg Monroe,24,DET,12350000
Tristan Thompson,23,CLE,12289544
Harrison Barnes,22,GSW,12100000
Khris Middleton,23,MIL,12000000
J.J. Redick,30,LAC,12000000
Trevor Ariza,29,HOU,12000000
Lou Williams,28,TOR,12000000
Tyler Zeller,25,BOS,11765500
Enes Kanter,22,TOT,11595506
Ed Davis,25,LAL,11500000
Giannis Antetokounmpo,20,MIL,11440124
Wesley Matthews,28,POR,11265416
Rudy Gay,28,SAC,11250000
Patrick Patterson,25,TOR,11000000
Isaiah Thomas,25,TOT,10854850
Brandan Wright,27,TOT,10629213
DeMarcus Cousins,24,SAC,10434782
Nikola Mirotic,23,CHI,10361446
Anthony Morrow,29,OKC,10105855
Timofey Mozgov,28,TOT,10100000
Kenneth Faried,25,DEN,9904495
Serge Ibaka,25,OKC,9714461
Joakim Noah,29,CHI,9704595
Chandler Parsons,26,DAL,9660869
Paul Pierce,37,WAS,9500000
Luol Deng,29,MIA,9445000
George Hill,28,IND,9388000
Brandon Bass,29,BOS,9250000
Hassan Whiteside,25,MIA,9154342
Nicolas Batum,26,POR,9000000
Andrew Bogut,30,GSW,9000000
Jeff Green,28,TOT,8694216
Andre Iguodala,31,GSW,8579089
Amir Johnson,27,TOR,8579088
Robin Lopez,26,POR,8575000
Omer Asik,28,NOP,8491500
Gorgui Dieng,25,MIN,8360000
Reggie Jackson,24,TOT,8000000
P.J. Tucker,29,PHO,8000000
Kevin Durant,26,OKC,8000000
Taj Gibson,29,CHI,8000000
Tobias Harris,22,ORL,8000000
Courtney Lee,29,MEM,8000000
Mason Plumlee,24,BRK,7974482
Al Jefferson,30,CHO,7900000
Donatas Motiejunas,24,HOU,7750000
Tyreke Evans,25,NOP,7707865
Markieff Morris,25,PHO,7500000
Cory Joseph,23,SAS,7245640
Brandon Knight,23,TOT,7238606
Kemba Walker,24,CHO,7191011
Luis Scola,34,IND,7128000
Matt Barnes,34,LAC,7097191
David West,34,IND,7070730
Marvin Williams,28,CHO,7000000
Devin Harris,31,DAL,7000000
Roy Hibbert,28,IND,7000000
Zaza Pachulia,30,MIL,6900000
Steven Adams,21,OKC,6792500
Tony Allen,33,MEM,6792500
Jared Dudley,29,MIL,6757913
Mike Dunleavy,34,CHI,6680000
James Johnson,27,TOR,6601125
Joe Johnson,33,BRK,6600000
Tony Parker,32,SAS,6541000
Bismack Biyombo,22,CHO,6516000
Robert Covington,24,PHI,6500000
DeMar DeRozan,25,TOR,6400000
Ersan Ilyasova,27,MIL,6331404
Marcus Morris,25,PHO,6300000
Nerlens Noel,20,PHI,6253521
Marreese Speights,27,GSW,6250000
Tiago Splitter,30,SAS,6124729
